ipo_name,status,subscription_percent,ipo_price,ipo_gmp,ipo_size,lot_size,open_date,close_date,gmp_updated_date
Indo Farm Equipment,Upcoming,,215,80.0,260.15,69,2024-12-31,2025-01-02,2024-12-29
Unimech Aerospace,Close,184.34,785,714.98,500.0,19,2024-12-23,2024-12-26,2024-12-29
Ventive Hospitality,Close,10.33,643,83.01,1600.0,23,2024-12-20,2024-12-24,2024-12-29
Senores Pharmaceuticals,Close,97.86,391,283.98,582.11,38,2024-12-20,2024-12-24,2024-12-29
Carraro India,Close,1.18,7,0.08,1250.0,2142,2024-12-20,2024-12-24,2024-12-29
Transrail Lighting,Close,81.98,432,164.98,838.91,34,2024-12-19,2024-12-23,2024-12-27
DAM Capital Advisors,Close,81.88,283,143.0,840.25,53,2024-12-19,2024-12-23,2024-12-27
Mamata Machinery,Close,194.95,243,260.01,179.39,61,2024-12-19,2024-12-23,2024-12-27
Concord Enviro Systems,Close,10.67,701,138.03,500.33,21,2024-12-19,2024-12-23,2024-12-27
Sanathan Textiles,Close,36.9,321,86.99,550.0,46,2024-12-19,2024-12-23,2024-12-27
International Gemmological Institute,Close,35.48,417,159.0,4225.0,35,2024-12-13,2024-12-17,2024-12-20
Inventurus Knowledge Solutions,Close,52.68,132,41.82,2497.92,113,2024-12-12,2024-12-16,2024-12-19
Mobikwik,Close,125.69,279,160.01,572.0,53,2024-12-11,2024-12-13,2024-12-18
Sai Life Sciences,Close,10.27,549,71.97,3042.62,27,2024-12-11,2024-12-13,2024-12-18
Vishal Mega Mart,Close,28.75,78,22.0,8000.0,192,2024-12-11,2024-12-13,2024-12-18
Property Share InvIT,Close,0.03,78,22.0,352.91,192,2024-12-12,2024-12-04,2024-12-10
Suraksha Clinic and Diagnostic,Close,1.27,441,13.01,846.25,34,2024-11-29,2024-12-03,2024-12-06
Enviro Infra Engineers,Close,89.9,148,56.99,650.43,101,2024-11-22,2024-11-26,2024-11-29
NTPC Green Energy,Close,2.55,10,0.09,10000.0,1500,2024-11-19,2024-11-22,2024-11-27
BlackBuck-Zinka Logistics,Close,1.87,2,0.04,1114.72,7500,2024-11-13,2024-11-18,2024-11-22
Niva Bupa Health Insurance,Close,1.9,74,1.0,2200.0,202,2024-11-07,2024-11-11,2024-11-14
ACME Solar Holdings,Close,2.89,74,1.0,2900.0,202,2024-11-16,2024-11-08,2024-11-13
Swiggy,Close,3.59,3,0.11,11327.43,5000,,2024-11-08,2024-11-13
Afcons Infrastructure,Close,2.77,463,15.0,5430.0,32,2024-10-25,2024-10-29,2024-11-04
Godavari Biorefineries,Close,1.87,35,0.5,554.75,428,2024-10-23,2024-10-25,2024-10-30
Waaree Energies,Close,79.44,2,1.33,4321.44,7500,2024-10-21,2024-10-23,2024-10-28
Deepak Builders Engineers,Close,41.54,203,31.99,260.04,73,2024-10-21,2024-10-23,2024-10-28
Hyundai Motor,Close,2.37,196,6.19,27870.16,76,2024-10-15,2024-10-17,2024-10-22
Garuda Construction and Engineering,Close,7.55,9,0.68,264.1,1666,,2024-10-10,2024-10-15
Diffusion Engineers,Close,114.5,168,57.99,158.0,89,2024-09-26,2024-09-30,2024-10-04
KRN Heat Exchanger,Close,213.41,220,235.0,341.95,68,2024-09-25,2024-09-27,2024-10-03
Manba Finance,Close,224.05,120,33.0,150.84,125,2024-09-23,2024-09-25,2024-09-30
Arkade Developers,Close,113.49,128,63.0,410.0,117,2024-09-16,2024-09-19,2024-09-24
Northern Arc Capital,Close,117.19,263,131.0,777.0,57,2024-09-16,2024-09-19,2024-09-24
Bajaj Housing Finance,Close,67.43,70,72.0,6560.0,214,,2024-09-11,2024-09-16
Tolins Tyres,Close,25.03,226,29.99,230.0,66,,2024-09-11,2024-09-16
